CODIGO_INEP,NOME_ESCOLA,GRE,MUNICIPIO,MODELO,1º ANO,2º ANO,3º ANO,4º ANO,5º ANO,6º ANO,7º ANO,8º ANO,9º ANO,1ª SÉRIE,2ª SÉRIE,3ª SÉRIE,ANOS INICIAIS,ANOS FINAIS,ENSINO MÉDIO,TOTAL
25000047,ECI NOSSA SENHORA DA CONCEIÇÃO,08ª GRE,BELÉM DO BREJO DO CRUZ,ECI,,,,,,,,,,31,37,32,,,X,100
25000349,ECIT Padre Aristides,08ª GRE,Bom Sucesso,ECIT,,,,,,,,,,47,46,39,,,X,132
25000640,ECIT Prof José Olímpio Maia,08ª GRE,Brejo Do Cruz,ECIT,,,,,,,,,,43,40,49,,,X,132
25000659,EEEFM ANTONIO GOMES,08ª GRE,BREJO DO CRUZ,ECI,,,,,,,,,,64,79,72,,,X,215
25001477,ECI EEFM PROFESSORA DIVA GUEDES DE ARAUJO,08ª GRE,BREJO DOS SANTOS,ECI,,,,,,,,,,36,55,32,,,X,123
25001833,Eci Obdulia Dantas,08ª GRE,Catolé Do Rocha,ECIT,,,,,,,,,,130,113,111,,,X,354
25001906,ESCOLA CIDADÃ INTEGRAL JOÃO SUASSUNA,08ª GRE,CATOLÉ DO ROCHA,ECI,,,,,,,,,,99,115,28,,,X,242
25002422,ECI EEFM FRANCISCO MAIA,08ª GRE,JERICÓ,ECI,,,,,,,,,,44,49,33,,,X,126
25002457,ECIEEM JOSÉ SERAFIM DE LIMA,08ª GRE,MATO GROSSO,ECI,,,,,,,,,,20,15,19,,,X,54
25003054,EEEFM FREI BRUNO,08ª GRE,LAGOA,ECI,,,,,,,,,,11,13,52,,,X,76
25004883,ECIT Coronel Jacob Guilherme Frantz,09ª GRE,São João Do Rio Do Peixe,ECIT,,,,,,,,,,82,58,43,,,X,183
25004999,EEEF DE BANDARRA,09ª GRE,SÃO JOÃO DO RIO DO PEIXE,ECI,,,,,,,,,,13,11,12,,,X,36
25005995,ECI EEFM Professora Francisca Fonseca Matias,09ª GRE,Poço De José De Moura,ECIT,,,,,,,,,,50,47,34,,,X,131
25006029,EEEFM PROF JOAQUIM UMBELINO,09ª GRE,BOM JESUS,ECI,,,,,,,,,,52,44,26,,,X,122
25006223,Ecit Monsenhor Morais,09ª GRE,Bonito De Santa Fé,ECIT,,,,,,,,,,66,49,53,,,X,168
25006231,EEEF JOAQUIM NABUCO,09ª GRE,BONITO DE SANTA FÉ,ECI,,,,,,,,,27,72,85,65,,X,X,249
25007092,Eci EEFM Professor Adalberto de Sousa Oliveira,09ª GRE,Cachoeira Dos Índios,ECIT,,,,,,,,,,73,75,55,,,X,203
25007726,Eci Professor Crispim Coelho,09ª GRE,Cajazeiras,ECIT,,,,,,,,,49,45,24,15,,X,X,133
25007785,ECIT Cristiano Cartaxo,09ª GRE,Cajazeiras,ECIT,,,,,,,,,,139,112,74,,,X,325
25009192,ECI EEM JOEL PEREIRA DA SILVA,09ª GRE,CARRAPATEIRA,ECI,,,,,,,,,,26,29,29,,,X,84
25009559,ECIEEFM BONIFÁCIO SARAIVA DE MOURA,09ª GRE,MONTE HOREBE,ECI,,,,,,,,,,58,50,35,,,X,143
25009931,ECI ELAINE SOARES BRASILEIRO,09ª GRE,SANTA HELENA,ECI,,,,,,,,,,28,43,22,,,X,93
25010565,Ecit Prefeito Joaquim Lacerda Leite,09ª GRE,São José De Piranhas,ECIT,,,,,,,,,,56,76,54,,,X,186
25012193,EEEFM NELSON BATISTA ALVES,09ª GRE,BERNARDINO BATISTA,ECI,,,,,,,,,,61,59,27,,,X,147
25012207,Eci EEM Bernardino Jose Batista,09ª GRE,Triunfo,ECIT,,,,,,,,,,76,54,42,,,X,172
25012916,Ecit Doutor Jose Duarte Filho,09ª GRE,Uiraúna,ECIT,,,,,,,,,,96,79,80,,,X,255
25012932,ESCOLA ESTADUAL CIDADÃ INTEGRAL SÃO JOSÉ OPERÁRIO,09ª GRE,JOCA CLAUDINO,ECI,,,,,,,,,,48,30,23,,,X,101
25012940,ECI EEM JOSE NILSON SANTIAGO,09ª GRE,POÇO DANTAS,ECI,,,,,,,,,,61,36,44,,,X,141
25013840,ECIT Doutor Trajano Pires da Nóbrega,13ª GRE,Condado,ECIT,,,,,,,,,,75,68,49,,,X,192
25014226,ESCOLA CIDADÃ INTEGRAL ESTADUAL DE ENSINO MÉDIO MANOEL MEDEIROS DE ARAÚJO,13ª GRE,VISTA SERRANA,ECI,,,,,,,,,,58,49,41,,,X,148
