CODIGO_INEP,NOME_ESCOLA,1º ANO,2º ANO,3º ANO,4º ANO,5º ANO,6º ANO,7º ANO,8º ANO,9º ANO,1ª SÉRIE,2ª SÉRIE,3ª SÉRIE,ENSINO FUNDAMENTAL (ANOS INICIAIS),ENSINO FUNDAMENTAL (ANOS FINAIS),ENSINO MÉDIO,TOTAL
25000047,ECI NOSSA SENHORA DA CONCEIÇÃO,,,,,,,,,,31,37,32,,,100,100
25000659,EEEFM ANTONIO GOMES,,,,,,,,,,64,79,72,,,215,215
25001477,ECI EEFM PROFESSORA DIVA GUEDES DE ARAUJO,,,,,,,,,,36,55,32,,,123,123
25001906,ESCOLA CIDADÃ INTEGRAL JOÃO SUASSUNA,,,,,,,,,,99,115,28,,,242,242
25002422,ECI EEFM FRANCISCO MAIA,,,,,,,,,,44,49,33,,,126,126
25002457,ECIEEM JOSÉ SERAFIM DE LIMA,,,,,,,,,,20,15,19,,,54,54
25003054,EEEFM FREI BRUNO,,,,,,,,,,11,13,52,,,76,76
25004999,EEEF DE BANDARRA,,,,,,,,,,13,11,12,,,36,36
25006029,EEEFM PROF JOAQUIM UMBELINO,,,,,,,,,,52,44,26,,,122,122
25006231,EEEF JOAQUIM NABUCO,,,,,,,,,27,72,85,65,,27,222,249
25009192,ECI EEM JOEL PEREIRA DA SILVA,,,,,,,,,,26,29,29,,,84,84
25009559,ECIEEFM BONIFÁCIO SARAIVA DE MOURA,,,,,,,,,,58,50,35,,,143,143
25009931,ECI ELAINE SOARES BRASILEIRO,,,,,,,,,,28,43,22,,,93,93
25012193,EEEFM NELSON BATISTA ALVES,,,,,,,,,,61,59,27,,,147,147
25012932,ESCOLA ESTADUAL CIDADÃ INTEGRAL SÃO JOSÉ OPERÁRIO,,,,,,,,,,48,30,23,,,101,101
25012940,ECI EEM JOSE NILSON SANTIAGO,,,,,,,,,,61,36,44,,,141,141
25014226,ESCOLA CIDADÃ INTEGRAL ESTADUAL DE ENSINO MÉDIO MANOEL MEDEIROS DE ARAÚJO,,,,,,,,,,58,49,41,,,148,148
25014412,ECI EEM NESTORINA ABRANTES,,,,,,,,,,53,66,47,,,166,166
25014951,ECIEEM FRANCISCO AUGUSTO CAMPOS,,,,,,,,,,83,77,67,,,227,227
25015885,EEEFM JOÃO DA MATA,,,,,,,,,,25,26,20,,,71,71
25016032,EEEF AMELIA MARIA DA LUZ,,,,,,,,,22,17,5,11,,22,33,55
25016059,EEEFM MARIA SOLEDADE ASSIS FREITAS,,,,,,,,,,38,25,23,,,86,86
25016105,ECI DEPUTADO LEVI OLÍMPIO FERREIRA,,,,,,,,,,24,40,38,,,102,102
25017438,ECI EEEFM ANTONIO GREGORIO DE LACERDA,,,,,,,,,,89,75,68,,,232,232
25018124,EEEF BATISTA LEITE,,,,,,23,51,46,78,44,46,,,198,90,288
25019228,EEEFM ANTONIO TEODORO NETO,,,,,,,,,15,34,53,41,,15,128,143
25019597,ECIEEM DORGIVAL SILVEIRA,,,,,,,,,,62,36,52,,,150,150
25019740,ECI EST EM MARIA MOREIRA PINTO,,,,,,,,,,54,62,60,,,176,176
25020102,EEEFM FRANCISCO ROMANO DA SILVEIRA,,,,,,,,,,49,32,32,,,113,113
25020927,ECI AUZENIR LACERDA,,,,,,,,,,119,121,68,,,308,308
25020935,ECI ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO MONSENHOR MANOEL VIEIRA,,,,,,,,,,268,223,167,,,658,658
25022296,EEEFM PROFESSOR JOAO NOBERTO,,,,,,,,,,49,52,42,,,143,143
25023187,ECI EEM MARIA DE LOURDES MEIRA,,,,,,,,,,33,37,23,,,93,93
25023489,ECI EEM AGENOR MENDES PEDROSA,,,,,,,,,23,66,50,53,,23,169,192
25027190,ECI EEM DOUTOR FELIZARDO LEITE,,,,,,,,,,55,54,43,,,152,152
25027573,ECI EEM JOÃO CAVALCANTE SULA,,,,,,,,,,50,54,49,,,153,153
25028065,EEEF JOSÉ HEITOR SOUZA MANGUEIRA,,,,,,,,,,97,139,75,,,311,311
25028103,ESCOLA CIDADÃ INTEGRAL ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO ENÉAS LEITE,,,,,,,,,,28,37,31,,,96,96
25029576,ECIEEM CORONEL ZUZA LACERDA,,,,,,,,,,23,18,19,,,60,60
25030116,ECIEEM PADRE MANOEL OTAVIANO,,,,,,,,,,76,66,42,,,184,184
25031155,ECI FRANCELINO DE ALENCAR NEVES,,,,,,27,33,52,60,,,,,172,,172
